"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2014","627.19","628.59","628.59","625.37","","-0.29%"
"05/08/2014","628.99","623.08","628.99","621.50","","1.09%"
"05/07/2014","622.19","620.53","623.47","619.45","","0.07%"
"05/06/2014","621.76","624.31","625.48","620.35","","-0.25%"
"05/05/2014","623.32","623.94","624.26","619.20","","-0.18%"
"05/02/2014","624.46","625.45","627.12","623.26","","-0.15%"
"05/01/2014","625.42","623.95","625.45","623.95","","0.18%"
"04/30/2014","624.31","623.45","625.17","622.54","","0.01%"
"04/29/2014","624.22","617.70","624.22","617.70","","1.21%"
"04/28/2014","616.78","615.69","619.47","615.60","","0.20%"
"04/25/2014","615.57","618.86","618.86","613.72","","-0.75%"
"04/24/2014","620.24","620.25","623.38","615.25","","0.34%"
"04/23/2014","618.16","621.02","621.58","617.81","","-0.55%"
"04/22/2014","621.55","614.86","622.21","614.86","","1.40%"
"04/17/2014","612.96","610.02","613.00","607.90","","0.50%"
"04/16/2014","609.90","605.49","609.90","605.49","","1.32%"
"04/15/2014","601.98","607.23","608.89","601.82","","-0.96%"
"04/14/2014","607.81","604.68","607.81","599.89","","0.40%"
"04/11/2014","605.36","611.37","611.37","602.24","","-1.38%"
"04/10/2014","613.85","618.43","620.72","613.42","","-0.50%"
"04/09/2014","616.92","615.09","618.93","615.09","","0.41%"
"04/08/2014","614.40","616.97","617.76","610.40","","-0.32%"
"04/07/2014","616.36","621.61","621.61","616.04","","-1.24%"
"04/04/2014","624.08","621.09","625.33","620.95","","0.61%"
"04/03/2014","620.32","619.98","622.53","618.07","","0.11%"
"04/02/2014","619.63","618.56","620.45","618.41","","0.19%"
"04/01/2014","618.47","615.94","619.56","615.94","","0.61%"
"03/31/2014","614.69","615.03","617.70","613.97","","0.18%"
"03/28/2014","613.59","609.25","613.97","609.25","","0.72%"
